scenarioId,scenario,operation,target,apiEvidence,uiEvidence,publishEvidence,outcome,notes
S1,loads the experience fragments route with the seeded fragments,xf:browse,admin /experience-fragments,GET /author/xf?siteId=tut-usa returned the seeded fragments,route listed 2 fragments with no error banner,,PASS,
S2,creates a fragment and finds it through list and get,xf:create,content.experience-fragments.tut-usa.en.global.reb22-1787667655623-fragment,POST /author/xf 200; list and get both resolve the created path,,,PASS,path is read from the create response — the service inserts a locale segment
S3,adds variations and lists them,xf:variation.add,"content.experience-fragments.tut-usa.en.global.reb22-1787667655623-fragment (master, mobile)","POST /author/xf/variations 200 twice; list returned master, mobile",,,PASS,
S4,edits a variation and persists it through the author API,xf:variation.edit,content.experience-fragments.tut-usa.en.global.reb22-1787667655623-fragment.master,component created and PUT /content/node/properties read back with the new title,editor opened on the variation and rendered the component on the canvas,,PASS,
S5,"ships a published fragment, with its components, to the publish instance",xf:publish,content.experience-fragments.tut-usa.en.global.reb22-1787667655623-fragment.master,POST /content/node/status PUBLISHED 200,,:8081 /api/content/v1/xf/variation/master served 1 component(s),PASS,
S6,"deletes test-owned variations and fragments, leaving the seeded ones intact",xf:delete,content.experience-fragments.tut-usa.en.global.reb22-1787667655623-fragment,variation and fragment deletes returned 2xx; neither remains in the list,,,PASS,seeded fragments still present: content.experience-fragments.tut-usa.global.navigation | content.experience-fragments.tut-usa.global.footer
S11,makes a fragment folder URL editable instead of rendering its variation as a component,xf:folder-url,/content/experience-fragments/tut-usa/global/navigation,,"resolved to the master variation, rendered the navigation component, notice shown",,PASS,
S12,follows the content tree's own Edit link into the editor,xf:content-tree-entry,http://localhost:3000/editor?path=%2Fcontent%2Fexperience-fragments,,"the tree's Edit link lands on authorable components, no structural node rendered",,PASS,
S13,follows the editor's own Edit in Experience Fragments link,xf:editor-link,http://localhost:3000/editor?path=/content/experience-fragments/tut-usa/global/navigation/master,,the link lands on authorable components rather than a structural node,,PASS,
S14,"never renders a structural node as a component, whatever the URL",xf:canvas-invariant,4 editor URLs,,no flexcms/xf-folder/flexcms/xf-page node appeared on any canvas,,PASS,
S15,"saves to the node on screen, not the node named in the URL",xf:save-target,content.experience-fragments.tut-usa.global.navigation,"folder children unchanged (master), all still variations",,,PASS,guards the corruption the folder resolution would otherwise have introduced
S7,creates a live copy and reports the relationship,livecopy:create,content.tut-usa.reb22-1787667655623-source -> content.tut-usa.reb22-1787667655623-copy,status reports isLiveCopy with the blueprint path; deep copy included the component,,,PASS,
S8,rolls blueprint changes out to the live copy,livecopy:rollout,content.tut-usa.reb22-1787667655623-copy,rollout updatedNodes=2; copy component carries the new title,,,PASS,
S9,stops syncing a detached copy and leaves its local value alone,livecopy:detach,content.tut-usa.reb22-1787667655623-copy,status isLiveCopy=false; a later rollout updated 0 nodes and the copy kept its value,,,PASS,
S10,answers invalid live-copy requests with actionable errors,livecopy:negative,invalid source / duplicate target / malformed body,"missing source 404, duplicate target 409, unreadable body 400 — each naming the cause",,,PASS,rollout of an unknown source still answers 200 with updatedNodes=0 (documented)
