scenarioId,scenario,operation,target,apiEvidence,uiEvidence,publishEvidence,outcome,notes
S1,reports every configured endpoint and names what is unreachable,harness:preflight,"admin app, author API, author health, publish API, public site","5 endpoints checked, all reachable",,,PASS,
S2,refuses to verify publish against the author instance,harness:publish-verifier,http://localhost:8081,,,health 200; an unpublished path is not served; author URL rejected at construction,PASS,
S3,generates namespaced names that cannot collide across runs,harness:test-data,reb-25-1787667678317,7 distinct names; content names are ltree-safe; SKUs upper-cased,,,PASS,
S4,tears down in dependency order and audits what it kept,harness:cleanup-audit,reb-25-1787667678318,reverse-order teardown verified; retention and failure both recorded; clean=false,,,PASS,AC3: retained entities are distinguished from entities left behind
S5,finds real console errors and failed requests without over-filtering,harness:browser-health,"/dashboard, /components",,"no severe console errors or broken media; 3 ignore rules, none matching a TypeError",,PASS,
S6,reports broken media on the public site,harness:media-health,http://localhost:3001/tut-usa/home,,"7 images checked after scrolling, none broken",,PASS,
S7,runs the accessibility smoke over the admin routes,harness:a11y-smoke,"/dashboard, /sites, /components, /translations, /dam",,structural checks clean on 5 routes; 0 naming/focus gap(s) recorded,,PASS,
S8,records the selectors suites had to guess at,harness:selector-stability,"/sites, /dashboard, /dam",,sidebar-nav present; 0 heading selector(s) missing and recorded,,PASS,AC4: recorded with file references rather than worked around silently
S9,produces the artifacts CI retention depends on,harness:artifacts,13 JUnit reports,"every report parseable and carries tests=""…""; reports/screenshots writable",,,PASS,AC5: ready for REB-14 CI retention
S10,classifies findings by who has to act on them,harness:failure-taxonomy,product-defect | environment-blocker | unsupported-ui | test-bug,each class counted independently and rendered with an owner and an action,,,PASS,this run classified 0 finding(s)
