scenarioId,scenario,operation,target,apiEvidence,uiEvidence,publishEvidence,outcome,notes
S1,opens the PIM routes and shows API-backed data,pim:route-smoke,/pim | /pim/schema | /pim/import | /pim/2d6d304c-73a2-4bf7-83a2-fd49461207ad,"GET /pim/v1/catalogs returned ""TUT 2026 Model Lineup""","catalog list, schema, import and catalog detail all rendered without a 404 or error",,PASS,
S2,"creates a catalog and a product, and finds the product again",pim:product.create,reb23-1787672142252-SKU,POST /catalogs and /products 200; get by SKU and catalog listing both resolve it,,,PASS,
S3,updates product attributes and reads the marker back,pim:product.update,reb23-1787672142252-SKU,attribute marker reb23-1787672142252-marker present after re-read; untouched attributes preserved,,,PASS,
S4,"transitions the product through DRAFT, PUBLISHED and ARCHIVED",pim:product.status,reb23-1787672142252-SKU,each transition returned the new status and survived a re-read,,,PASS,
S5,"creates, updates and deletes a variant",pim:variant.lifecycle,reb23-1787672142252-SKU-V1,create/list/update/delete each verified against a re-read of the variant list,,,PASS,
S6,"links, updates and unlinks a DAM asset reference",pim:asset-ref.lifecycle,reb23-1787672142252-SKU -> content/dam/tut-usa/heroes/orlando-resort.png,link/list/update/unlink each verified against a re-read of the reference list,,,PASS,
S7,records version history and restores a previous version,pim:version.restore,reb23-1787672142252-SKU,history held 7 distinct versions; restore reverted the attribute,,,PASS,
S8,"carries a product forward, reports the delta, and merges inherited attributes",pim:carryforward,3bf7f7d0-a32f-42dd-b304-318b3913aaf0 -> c0de64ed-7215-4997-9aad-4653b59c7e06,carriedForward=1; delta counts agree; merge-inherited 200,,,PASS,test catalogs only — the seeded lineup is never a carryforward source or target (AC4)
S9,infers a schema from an uploaded file and rejects a call missing its source type,pim:import.infer-schema,"probe.csv (inference only, no import)",inferred sku/name/price; omitting sourceType answered 400,,,PASS,
S10a,product search returns the test product,pim:search,reb23-1787672142252,GET /pim/v1/search answered 500,,,BLOCKED,"Elasticsearch client 9.4.2 against server 8.13.4 — a version decision, not a code defect"
S10b,rendered integration for PIM-backed components,pim:rendered-integration,site renderers,no renderer references /api/pim or a product SKU,,,PASS,"conditional in the spec (""if any TUT product component consumes PIM data"") — it does not"
