scenarioId,groupName,resourceType,componentTitle,fieldKey,editorControl,fieldSemantics,verifiedLayers,outcome,notes
S1,"Account, Portal & Transactional",tut-usa/account-portal-transactional/invoice-download,Invoice Download,amount,number,scalar,ui,PASS,control number present and typed as contracted
S1,"Account, Portal & Transactional",tut-usa/account-portal-transactional/invoice-download,Invoice Download,file,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Account, Portal & Transactional",tut-usa/account-portal-transactional/invoice-download,Invoice Download,invoiceDate,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Account, Portal & Transactional",tut-usa/account-portal-transactional/invoice-download,Invoice Download,invoiceNumber,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Brand, Corporate, Investor & Governance",tut-usa/brand-corporate-investor-governance/office-location,Office Location,address,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Brand, Corporate, Investor & Governance",tut-usa/brand-corporate-investor-governance/office-location,Office Location,amenities,structured,list,ui,PASS,"list field renders a structured editor (nested group / repeater), not a text input"
S1,"Brand, Corporate, Investor & Governance",tut-usa/brand-corporate-investor-governance/office-location,Office Location,map,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Brand, Corporate, Investor & Governance",tut-usa/brand-corporate-investor-governance/office-location,Office Location,officeName,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Brand, Corporate, Investor & Governance",tut-usa/brand-corporate-investor-governance/office-location,Office Location,photo,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,backgroundImage,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,eyebrow,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,headline,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,primaryCta,structured,object,ui,PASS,"object field renders a structured editor (nested group / repeater), not a text input"
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,secondaryCta,structured,object,ui,PASS,"object field renders a structured editor (nested group / repeater), not a text input"
S1,"Calls to Action, Promotions & Campaigns",tut-usa/calls-to-action-promotions-campaigns/hero-banner,Hero Banner,subheadline,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Commerce, Catalog & Merchandising",tut-usa/commerce-catalog-merchandising/product-card,Product Card,cta,structured,object,ui,PASS,"object field renders a structured editor (nested group / repeater), not a text input"
S1,"Commerce, Catalog & Merchandising",tut-usa/commerce-catalog-merchandising/product-card,Product Card,image,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Commerce, Catalog & Merchandising",tut-usa/commerce-catalog-merchandising/product-card,Product Card,price,number,scalar,ui,PASS,control number present and typed as contracted
S1,"Commerce, Catalog & Merchandising",tut-usa/commerce-catalog-merchandising/product-card,Product Card,productName,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Commerce, Catalog & Merchandising",tut-usa/commerce-catalog-merchandising/product-card,Product Card,shortDescription,textarea,scalar,ui,PASS,control textarea present and typed as contracted
S1,"Community, Social Proof & Engagement",tut-usa/community-social-proof-engagement/contact-card,Contact Card,email,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Community, Social Proof & Engagement",tut-usa/community-social-proof-engagement/contact-card,Contact Card,name,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Community, Social Proof & Engagement",tut-usa/community-social-proof-engagement/contact-card,Contact Card,phone,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Community, Social Proof & Engagement",tut-usa/community-social-proof-engagement/contact-card,Contact Card,photo,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Community, Social Proof & Engagement",tut-usa/community-social-proof-engagement/contact-card,Contact Card,role,text,scalar,ui,PASS,control text present and typed as contracted
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,challenge,text,scalar,ui,PASS,control text present and typed as contracted
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,downloadAsset,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,headline,text,scalar,ui,PASS,control text present and typed as contracted
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,heroImage,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,results,text,scalar,ui,PASS,control text present and typed as contracted
S1,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,Case Study Detail,solution,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Education, Learning & Developer Content",tut-usa/education-learning-developer-content/faculty-profile,Faculty Profile,bio,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Education, Learning & Developer Content",tut-usa/education-learning-developer-content/faculty-profile,Faculty Profile,name,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Education, Learning & Developer Content",tut-usa/education-learning-developer-content/faculty-profile,Faculty Profile,photo,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
S1,"Education, Learning & Developer Content",tut-usa/education-learning-developer-content/faculty-profile,Faculty Profile,specialties,structured,list,ui,PASS,"list field renders a structured editor (nested group / repeater), not a text input"
S1,"Education, Learning & Developer Content",tut-usa/education-learning-developer-content/faculty-profile,Faculty Profile,title,text,scalar,ui,PASS,control text present and typed as contracted
S1,"Events, Booking, Travel & Hospitality",tut-usa/events-booking-travel-hospitality/webinar-replay,Webinar Replay,cta,structured,object,ui,PASS,"object field renders a structured editor (nested group / repeater), not a text input"
S1,"Events, Booking, Travel & Hospitality",tut-usa/events-booking-travel-hospitality/webinar-replay,Webinar Replay,slidesFile,text,asset,ui,PASS,control present but lossy: asset field edited through a plain text input
