scenarioId,groupName,resourceType,componentTitle,fieldKey,editorControl,fieldSemantics,verifiedLayers,outcome,notes
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/section-divider,Section Divider,spacing,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/section-divider,Section Divider,style,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/spacer,Spacer,size,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/container,Container,maxWidth,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/container,Container,title,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,Grid Layout,columnsMobile,number,scalar,ui,PASS,control number present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,Grid Layout,columnsTablet,number,scalar,ui,PASS,control number present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,Grid Layout,items,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,stackOnMobile,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,leftColumnItems,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,rightColumnItems,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,stackOnMobile,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,Card Grid,cards,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,Card Grid,columns,number,scalar,ui,PASS,control number present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,Card Grid,showEqualHeight,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,cta,structured,object,ui,PASS,object field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,description,textarea,scalar,ui,PASS,control textarea present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,image,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sticky-cta,Sticky CTA,position,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sticky-cta,Sticky CTA,triggerOffset,number,scalar,ui,PASS,control number present
