scenarioId,scenario,operation,target,apiEvidence,uiEvidence,publishEvidence,outcome,notes
S10,publish environment reachable and distinct,guard:publish-isolation,content.tut-usa.reb20-never-published,author delivery serves marker reb20-1787667524070-never; node status DRAFT,(no UI surface for this guard),publish delivery does not serve the unpublished page (HTTP 500),PASS,"ordered first so every later publish assertion is known to target :8081, not the author"
S1,workflow start,workflow:start,content.tut-usa.reb20-workflow-approve,instance 7eeec8ec-687f-4d13-b2ff-423f30b42264 ACTIVE at step 'draft'; /active and /list?status=ACTIVE both return it; duplicate start rejected,"workflow inbox lists ""Content path: content.tut-usa.reb20-workflow-approve""; Pending count 1; tabs Pending (1) | Approved | Rejected",(start does not publish),PASS,
S2,workflow advance through approval,workflow:advance submit→approve→publish,content.tut-usa.reb20-workflow-approve,steps draft→review→approved→published; node status DRAFT→IN_REVIEW→APPROVED→PUBLISHED; lastAction/lastActionBy/lastComment recorded at each step,inbox still lists the instance after publish: true (instance remains ACTIVE),publish delivery serves marker reb20-1787667524070-wf-approve for /tut-usa/reb20-workflow-approve,PASS,"workflow stays ACTIVE after publish: definition has no ""end"" step"
S3,workflow reject and cancel,workflow:advance reject + workflow:cancel,content.tut-usa.reb20-workflow-cancel,reject returned step 'draft' (node DRAFT) with instance still ACTIVE; cancel set CANCELLED; /active returns 404; instance present in /list?status=CANCELLED and absent from ACTIVE,inbox no longer lists the workflow; Rejected tab shows 0 card(s) (the tab cannot populate — /for-user returns ACTIVE only),(reject/cancel do not publish),PASS,
S4,individual publish,content:status → PUBLISHED,content.tut-usa.reb20-publish-single,POST /node/status?status=PUBLISHED returned PUBLISHED; node re-read as PUBLISHED,(publish is not exposed as a content-tree action),"absent before publish, then serves marker reb20-1787667524070-single — status endpoint replicates unaided",PASS,
S5,bulk publish,content:bulk/publish,content.tut-usa.reb20-bulk-publish-a content.tut-usa.reb20-bulk-publish-b,BulkOperationResult succeeded=2 failed=0 total=2 errors=[]; both nodes re-read as PUBLISHED,(no bulk actions are wired in the content tree UI),"publish delivery serves both markers (reb20-1787667524070-bulk-a, reb20-1787667524070-bulk-b)",PASS,
S6,bulk move,content:bulk/move,content.tut-usa.reb20-move-source → content.tut-usa.reb20-move-target.reb20-move-source,"succeeded=1 errors=[]; old path 404; new path resolves with reb20Marker intact; parentPath=""content.tut-usa.reb20-move-target"" (expected ""content.tut-usa.reb20-move-target""); new parent lists it: true; old parent still lists it: false",site root lists reb20-move-target; stale reb20-move-source row still shown there: false; descending into a page-typed parent is not supported by the tree UI,(move does not publish; source was never published),PASS,
S7,bulk delete,content:bulk DELETE,content.tut-usa.reb20-bulk-delete-a content.tut-usa.reb20-bulk-delete-b,succeeded=2 failed=0; both paths 404; unlisted sibling reb20-never-published untouched,content tree under the site root lists reb20-never-published and neither deleted page,(neither page was published),PASS,
S8,scheduled publish,content:schedule-publish,content.tut-usa.reb20-schedule-publish,scheduledPublishAt persisted (2026-08-25T14:18:59.831Z); cleared by the scheduler; author status after = PUBLISHED,(scheduling is not exposed in the admin UI),publish delivery serves marker reb20-1787667524070-sched-pub after the scheduler ran,PASS,
S9,scheduled deactivation,content:schedule-deactivate,content.tut-usa.reb20-schedule-deactivate,scheduledDeactivateAt persisted (2026-08-25T14:19:18.184Z) and cleared by the scheduler; author status after = ARCHIVED,(scheduling is not exposed in the admin UI),publish no longer serves the page (HTTP 500),PASS,
S12,bulk failure reporting,content:bulk/publish (nonexistent path),content.tut-usa.reb20-does-not-exist-1787667628986,"succeeded=0 failed=1 total=1; errors=[""content.tut-usa.reb20-does-not-exist-1787667628986: Resource not found at path: content.tut-usa.reb20-does-not-exist-1787667628986""]",(no bulk actions are wired in the content tree UI),(nothing was published),PASS,per-path failures are counted and named — BulkOperationResult.addError() increments failed
S12,bulk delete of a nonexistent path,content:bulk DELETE (nonexistent path),content.tut-usa.reb20-does-not-exist-1787667628986,"succeeded=0 failed=1 total=1 errors=[""content.tut-usa.reb20-does-not-exist-1787667628986: Resource not found at path: content.tut-usa.reb20-does-not-exist-1787667628986""]",(no bulk actions are wired in the content tree UI),(not a publishing operation),PASS,
S12,delete a page with workflow history,content:delete (node with workflow instances),content.tut-usa.reb20-workflow-cancel,DELETE removed the node,(delete is not exposed as a content-tree action),(not a publishing operation),PASS,
