# generated_at=2026-07-07T07:02:00.045Z
entity_kind,case_id,title,slug,spec_path,manifest_path,normalized_html,screenshot_evidence,blocker_count,coverage_broken_images,coverage_font_loading,coverage_console_errors,coverage_primary_cta,coverage_responsive_breakpoints,coverage_basic_accessibility,status,notes
template,TPL-01,Accessories / Lifestyle Collection Page,accessories_lifestyle_collection_page,frontend/apps/selenium-e2e/src/cases/templates/accessories_lifestyle_collection_page.spec.ts,Design/tut-usa/templates/accessories_lifestyle_collection_page/assets-manifest.json,Design/tut-usa/templates/accessories_lifestyle_collection_page/normalized.html,Design/tut-usa/templates/accessories_lifestyle_collection_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-02,Book a Test Drive Page,book_a_test_drive_page,frontend/apps/selenium-e2e/src/cases/templates/book_a_test_drive_page.spec.ts,Design/tut-usa/templates/book_a_test_drive_page/assets-manifest.json,Design/tut-usa/templates/book_a_test_drive_page/normalized.html,Design/tut-usa/templates/book_a_test_drive_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-03,Brand Story / About TUT Page,brand_story_about_tut_page,frontend/apps/selenium-e2e/src/cases/templates/brand_story_about_tut_page.spec.ts,Design/tut-usa/templates/brand_story_about_tut_page/assets-manifest.json,Design/tut-usa/templates/brand_story_about_tut_page/normalized.html,Design/tut-usa/templates/brand_story_about_tut_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-04,Build & Configure Page,build_configure_page,frontend/apps/selenium-e2e/src/cases/templates/build_configure_page.spec.ts,Design/tut-usa/templates/build_configure_page/assets-manifest.json,Design/tut-usa/templates/build_configure_page/normalized.html,Design/tut-usa/templates/build_configure_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-05,Compare Models Page,compare_models_page,frontend/apps/selenium-e2e/src/cases/templates/compare_models_page.spec.ts,Design/tut-usa/templates/compare_models_page/assets-manifest.json,Design/tut-usa/templates/compare_models_page/normalized.html,Design/tut-usa/templates/compare_models_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-06,Contact / Concierge / Support Page,contact_concierge_page,frontend/apps/selenium-e2e/src/cases/templates/contact_concierge_page.spec.ts,Design/tut-usa/templates/contact_concierge_page/assets-manifest.json,Design/tut-usa/templates/contact_concierge_page/normalized.html,Design/tut-usa/templates/contact_concierge_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-07,Dealer / Showroom Locator Page,dealer_showroom_locator_page,frontend/apps/selenium-e2e/src/cases/templates/dealer_showroom_locator_page.spec.ts,Design/tut-usa/templates/dealer_showroom_locator_page/assets-manifest.json,Design/tut-usa/templates/dealer_showroom_locator_page/normalized.html,Design/tut-usa/templates/dealer_showroom_locator_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-08,Global Home Page,global_home_page,frontend/apps/selenium-e2e/src/cases/templates/global_home_page.spec.ts,Design/tut-usa/templates/global_home_page/assets-manifest.json,Design/tut-usa/templates/global_home_page/normalized.html,Design/tut-usa/templates/global_home_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-09,Innovation Feature Detail Page,innovation_feature_detail_page,frontend/apps/selenium-e2e/src/cases/templates/innovation_feature_detail_page.spec.ts,Design/tut-usa/templates/innovation_feature_detail_page/assets-manifest.json,Design/tut-usa/templates/innovation_feature_detail_page/normalized.html,Design/tut-usa/templates/innovation_feature_detail_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-10,Innovation Hub Page,innovation_hub_page,frontend/apps/selenium-e2e/src/cases/templates/innovation_hub_page.spec.ts,Design/tut-usa/templates/innovation_hub_page/assets-manifest.json,Design/tut-usa/templates/innovation_hub_page/normalized.html,Design/tut-usa/templates/innovation_hub_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-11,Learning / Education Hub Page,learning_education_hub_page,frontend/apps/selenium-e2e/src/cases/templates/learning_education_hub_page.spec.ts,Design/tut-usa/templates/learning_education_hub_page/assets-manifest.json,Design/tut-usa/templates/learning_education_hub_page/normalized.html,Design/tut-usa/templates/learning_education_hub_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-12,Model Overview / Lineup Landing Page,model_overview_page,frontend/apps/selenium-e2e/src/cases/templates/model_overview_page.spec.ts,Design/tut-usa/templates/model_overview_page/assets-manifest.json,Design/tut-usa/templates/model_overview_page/normalized.html,Design/tut-usa/templates/model_overview_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-13,News / Press / Article Detail Page,news_press_article_detail_page,frontend/apps/selenium-e2e/src/cases/templates/news_press_article_detail_page.spec.ts,Design/tut-usa/templates/news_press_article_detail_page/assets-manifest.json,Design/tut-usa/templates/news_press_article_detail_page/normalized.html,Design/tut-usa/templates/news_press_article_detail_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-14,News & Updates Landing Page,news_updates_landing_page,frontend/apps/selenium-e2e/src/cases/templates/news_updates_landing_page.spec.ts,Design/tut-usa/templates/news_updates_landing_page/assets-manifest.json,Design/tut-usa/templates/news_updates_landing_page/normalized.html,Design/tut-usa/templates/news_updates_landing_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-15,Offers / Financing / Leasing Page,offers_financing_leasing_page,frontend/apps/selenium-e2e/src/cases/templates/offers_financing_leasing_page.spec.ts,Design/tut-usa/templates/offers_financing_leasing_page/assets-manifest.json,Design/tut-usa/templates/offers_financing_leasing_page/normalized.html,Design/tut-usa/templates/offers_financing_leasing_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
